OID_,Lion,GMT_Date,GMT_Time,Latitude,Longitude,Date_Time,LongitudeU,LatitudeUT
,F62b,1/28/2012 0:00:00,0:06,33.576376500000002,-117.555952000000000,1/28/2012 0:00:00,448405.268788999990000,3715325.500440000100000
,F62b,1/28/2012 0:00:00,0:11,33.576339900000001,-117.555746900000000,1/28/2012 0:00:00,448424.281414000030000,3715321.340380000000000
,F62b,1/28/2012 0:00:00,0:15,33.576376099999997,-117.555736999999990,1/28/2012 0:00:00,448425.221719000020000,3715325.349030000200000
,F62b,1/28/2012 0:00:00,0:20,33.576329800000003,-117.555834899999990,1/28/2012 0:00:00,448416.108524999990000,3715320.264380000100000
,F62b,1/28/2012 0:00:00,0:26,33.576355999999997,-117.555757700000000,1/28/2012 0:00:00,448423.288691000020000,3715323.130799999900000
,F62b,1/28/2012 0:00:00,0:30,33.576136400000003,-117.555470000000000,1/28/2012 0:00:00,448449.858271999980000,3715298.640010000200000
,F62b,1/28/2012 0:00:00,0:35,33.576531400000000,-117.554993800000010,1/28/2012 0:00:00,448494.286956999970000,3715342.197759999900000
,F62b,1/28/2012 0:00:00,0:40,33.575434600000001,-117.555772600000000,1/28/2012 0:00:00,448421.357842999980000,3715220.980359999900000
,F62b,1/28/2012 0:00:00,0:45,33.574277600000002,-117.556645300000000,1/28/2012 0:00:00,448339.676419999970000,3715093.135820000000000
,F62b,1/28/2012 0:00:00,0:50,33.573321800000002,-117.555980600000000,1/28/2012 0:00:00,448400.796995999990000,3714986.832729999900000
,F62b,1/28/2012 0:00:00,0:55,33.572374699999997,-117.555373100000000,1/28/2012 0:00:00,448456.615397999990000,3714881.523120000000000
,F62b,1/28/2012 0:00:00,1:00,33.570717399999999,-117.555365200000000,1/28/2012 0:00:00,448456.363673000010000,3714697.770450000200000
,F62b,1/28/2012 0:00:00,1:05,33.570636000000000,-117.554971600000000,1/28/2012 0:00:00,448492.845932999980000,3714688.549709999900000
,F62b,1/28/2012 0:00:00,1:10,33.570589400000003,-117.554908100000010,1/28/2012 0:00:00,448498.711797000030000,3714683.351489999800000
,F62b,1/28/2012 0:00:00,1:15,33.570609599999997,-117.554676500000000,1/28/2012 0:00:00,448520.218957000000000,3714685.476019999900000
,F62b,1/28/2012 0:00:00,1:20,33.570535300000003,-117.554915200000000,1/28/2012 0:00:00,448498.020710000010000,3714677.356829999900000
,F62b,1/28/2012 0:00:00,1:25,33.570583200000002,-117.554871600000000,1/28/2012 0:00:00,448502.095739000010000,3714682.645940000200000
,F62b,1/28/2012 0:00:00,1:30,33.570573600000003,-117.554903499999990,1/28/2012 0:00:00,448499.129347999990000,3714681.597420000000000
,F62b,1/28/2012 0:00:00,1:36,33.569603999999998,-117.553782600000010,1/28/2012 0:00:00,448602.587344000000000,3714573.539040000200000
,F62b,1/28/2012 0:00:00,1:40,33.569261400000002,-117.553467900000000,1/28/2012 0:00:00,448631.592591999970000,3714535.398130000100000
,F62b,1/28/2012 0:00:00,1:45,33.568937499999997,-117.552789600000000,1/28/2012 0:00:00,448694.356083000020000,3714499.150530000200000
,F62b,1/28/2012 0:00:00,1:50,33.569253099999997,-117.553641900000000,1/28/2012 0:00:00,448615.438207999980000,3714534.564170000100000
,F62b,1/28/2012 0:00:00,1:55,33.568809000000002,-117.553538500000000,1/28/2012 0:00:00,448624.772035999980000,3714485.274509999900000
,F62b,1/28/2012 0:00:00,2:00,33.567635500000002,-117.552343300000000,1/28/2012 0:00:00,448735.009199000020000,3714354.573940000000000
,F62b,1/28/2012 0:00:00,2:06,33.566119100000002,-117.551869200000000,1/28/2012 0:00:00,448778.117275999980000,3714186.212830000100000
,F62b,1/28/2012 0:00:00,2:10,33.564945299999998,-117.551421300000000,1/28/2012 0:00:00,448818.997215999990000,3714055.849719999800000
,F62b,1/28/2012 0:00:00,2:15,33.564010199999998,-117.550553699999990,1/28/2012 0:00:00,448898.974991000020000,3713951.744969999900000
,F62b,1/28/2012 0:00:00,2:20,33.563068100000002,-117.549536200000010,1/28/2012 0:00:00,448992.864056000020000,3713846.791030000000000
,F62b,1/28/2012 0:00:00,2:25,33.562678300000002,-117.548021100000000,1/28/2012 0:00:00,449133.266538000030000,3713802.828369999800000
,F62b,1/28/2012 0:00:00,2:30,33.562071600000003,-117.547843800000000,1/28/2012 0:00:00,449149.367942999990000,3713735.475240000100000
,F62b,1/28/2012 0:00:00,2:35,33.562130699999997,-117.547677800000000,1/28/2012 0:00:00,449164.810805000020000,3713741.946339999800000
,F62b,1/28/2012 0:00:00,2:41,33.562030600000000,-117.547471500000000,1/28/2012 0:00:00,449183.901071999980000,3713730.746869999900000
,F62b,1/28/2012 0:00:00,2:45,33.562057799999998,-117.547645000000000,1/28/2012 0:00:00,449167.812610999970000,3713733.847670000000000
,F62b,1/28/2012 0:00:00,2:50,33.562035799999997,-117.547581900000000,1/28/2012 0:00:00,449173.656709000000000,3713731.377539999800000
,F62b,1/28/2012 0:00:00,2:56,33.561919799999998,-117.547503100000000,1/28/2012 0:00:00,449180.903037999990000,3713718.477729999900000
,F62b,1/28/2012 0:00:00,3:01,33.561998000000003,-117.547575700000000,1/28/2012 0:00:00,449174.210054000020000,3713727.183530000000000
,F62b,1/28/2012 0:00:00,3:05,33.562044399999998,-117.547663300000000,1/28/2012 0:00:00,449166.106141000000000,3713732.370960000000000
,F62b,1/28/2012 0:00:00,3:10,33.562066199999997,-117.547595200000000,1/28/2012 0:00:00,449172.440003000030000,3713734.754569999900000
,F62b,1/28/2012 0:00:00,3:15,33.562025200000001,-117.547648300000010,1/28/2012 0:00:00,449167.487203000000000,3713730.234860000200000
,F62b,1/28/2012 0:00:00,3:20,33.562070900000002,-117.547583100000000,1/28/2012 0:00:00,449173.565887000000000,3713735.269739999900000
,F62b,1/28/2012 0:00:00,3:25,33.562042200000000,-117.547531699999990,1/28/2012 0:00:00,449178.320058999990000,3713732.062500000000000
,F62b,1/28/2012 0:00:00,3:30,33.562040799999998,-117.547576100000000,1/28/2012 0:00:00,449174.197999000030000,3713731.929060000000000
,F62b,1/28/2012 0:00:00,3:35,33.562032199999997,-117.547565300000000,1/28/2012 0:00:00,449175.195424999980000,3713730.970259999900000
,F62b,1/28/2012 0:00:00,3:40,33.561991800000001,-117.547569400000000,1/28/2012 0:00:00,449174.791192999980000,3713726.493040000100000
,F62b,1/28/2012 0:00:00,3:45,33.562046400000000,-117.547631300000010,1/28/2012 0:00:00,449169.077576000010000,3713732.577010000100000
,F62b,1/28/2012 0:00:00,3:50,33.562048400000002,-117.547521700000000,1/28/2012 0:00:00,449179.251898000020000,3713732.745010000200000
,F62b,1/28/2012 0:00:00,3:57,33.562293199999999,-117.547712200000010,1/28/2012 0:00:00,449161.712994000000000,3713759.979940000000000
,F62b,1/28/2012 0:00:00,4:01,33.562102400000001,-117.547554899999990,1/28/2012 0:00:00,449176.201882999970000,3713738.748379999800000
,F62b,1/28/2012 0:00:00,4:05,33.561957999999997,-117.547616400000000,1/28/2012 0:00:00,449170.408814999970000,3713722.768610000100000
,F62b,1/28/2012 0:00:00,4:10,33.562011800000001,-117.547603100000000,1/28/2012 0:00:00,449171.674850000010000,3713728.727010000000000
,F62b,1/28/2012 0:00:00,4:16,33.561900500000000,-117.547629200000000,1/28/2012 0:00:00,449169.187021000020000,3713716.399739999800000
,F62b,1/28/2012 0:00:00,4:25,33.561987899999998,-117.547656600000000,1/28/2012 0:00:00,449166.694936999990000,3713726.103399999900000
,F62b,1/28/2012 0:00:00,4:33,33.561727099999999,-117.547788299999990,1/28/2012 0:00:00,449154.317602000020000,3713697.252559999900000
,F62b,1/28/2012 0:00:00,4:35,33.561923399999998,-117.547672800000000,1/28/2012 0:00:00,449165.153448999980000,3713718.960099999800000
,F62b,1/28/2012 0:00:00,4:41,33.562850200000000,-117.547038000000000,1/28/2012 0:00:00,449224.618521999980000,3713821.405179999800000
,F62b,1/28/2012 0:00:00,4:45,33.562724299999999,-117.546961700000000,1/28/2012 0:00:00,449231.627004000010000,3713807.409000000000000
,F62b,1/28/2012 0:00:00,4:50,33.562789500000001,-117.546924700000010,1/28/2012 0:00:00,449235.099494000020000,3713814.619729999900000
,F62b,1/28/2012 0:00:00,4:55,33.562730600000002,-117.546998200000000,1/28/2012 0:00:00,449228.242761000000000,3713808.125370000000000
,F62b,1/28/2012 0:00:00,5:00,33.562810100000000,-117.546970800000000,1/28/2012 0:00:00,449230.832549999990000,3713816.926279999800000
,F62b,1/28/2012 0:00:00,5:06,33.563780500000000,-117.547110600000000,1/28/2012 0:00:00,449218.424333999980000,3713924.585099999800000
,F62b,1/28/2012 0:00:00,5:10,33.564830800000003,-117.547463400000000,1/28/2012 0:00:00,449186.293026999980000,3714041.207070000000000
,F62b,1/28/2012 0:00:00,5:15,33.565734499999998,-117.548755700000000,1/28/2012 0:00:00,449066.875245000000000,3714142.036690000000000
,F62b,1/28/2012 0:00:00,5:20,33.566386399999999,-117.548986500000000,1/28/2012 0:00:00,449045.836047000020000,3714214.427749999800000
,F62b,1/28/2012 0:00:00,5:25,33.567882400000002,-117.548458299999990,1/28/2012 0:00:00,449095.739401999980000,3714380.032980000100000
,F62b,1/28/2012 0:00:00,5:30,33.568877499999999,-117.547804799999990,1/28/2012 0:00:00,449156.976940999970000,3714490.041090000000000
,F62b,1/28/2012 0:00:00,5:35,33.569851499999999,-117.546818400000010,1/28/2012 0:00:00,449249.097982999990000,3714597.547069999900000
,F62b,1/28/2012 0:00:00,5:40,33.571249700000003,-117.545879600000010,1/28/2012 0:00:00,449337.046947999970000,3714752.109230000100000
,F62b,1/28/2012 0:00:00,5:45,33.573010199999999,-117.545569300000000,1/28/2012 0:00:00,449366.873970000020000,3714947.148200000200000
,F62b,1/28/2012 0:00:00,5:50,33.573932399999997,-117.544068000000000,1/28/2012 0:00:00,449506.745005999980000,3715048.661929999900000
,F62b,1/28/2012 0:00:00,5:55,33.574584899999998,-117.542859699999990,1/28/2012 0:00:00,449619.263947999980000,3715120.417870000000000
,F62b,1/28/2012 0:00:00,6:00,33.575346699999997,-117.544165800000000,1/28/2012 0:00:00,449498.492010999990000,3715205.516319999900000
,F62b,1/28/2012 0:00:00,6:05,33.575898799999997,-117.543924200000010,1/28/2012 0:00:00,449521.235435999990000,3715266.611190000100000
,F62b,1/28/2012 0:00:00,6:10,33.576053199999997,-117.543829100000000,1/28/2012 0:00:00,449530.151137000010000,3715283.683550000200000
,F62b,1/28/2012 0:00:00,6:15,33.575732899999998,-117.544524900000000,1/28/2012 0:00:00,449465.390269000030000,3715248.510330000000000
,F62b,1/28/2012 0:00:00,6:20,33.576639600000000,-117.543795000000000,1/28/2012 0:00:00,449533.657087000030000,3715348.682480000000000
,F62b,1/28/2012 0:00:00,6:25,33.577731300000004,-117.543137599999990,1/28/2012 0:00:00,449595.301740999970000,3715469.401769999900000
,F62b,1/28/2012 0:00:00,6:30,33.578455499999997,-117.543161600000000,1/28/2012 0:00:00,449593.495448999980000,3715549.707220000200000
,F62b,1/28/2012 0:00:00,6:35,33.579096300000003,-117.543392000000000,1/28/2012 0:00:00,449572.486291999990000,3715620.866380000000000
,F62b,1/28/2012 0:00:00,6:41,33.579799500000000,-117.543697499999990,1/28/2012 0:00:00,449544.544356999980000,3715698.980620000000000
,F62b,1/28/2012 0:00:00,6:45,33.579764500000003,-117.544067500000000,1/28/2012 0:00:00,449510.187349000010000,3715695.280360000200000
,F62b,1/28/2012 0:00:00,6:50,33.579611200000002,-117.544492300000000,1/28/2012 0:00:00,449470.675830999970000,3715678.490760000000000
,F62b,1/28/2012 0:00:00,6:55,33.580122799999998,-117.545575099999990,1/28/2012 0:00:00,449370.488676999990000,3715735.741800000000000
